"url","Name","Name_link","Games","Win Rate","Kd","Gpm","Gdm","Kills Game","Deaths Game","Towers Killed","Towers Lost","Fb","Ft","Drapg","Dra","Herpg","Her","Dra 15","Td 15","Gd 15","Nash Pg","Nash","Csm","Dpm","Wpm","Vwpm","Wcpm"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCK%20Spring%202019/week-ALL/","Afreeca Freecs","https://gol.gg/teams/team-stats/582/split-ALL/tournament-LCK%20Spring%202019/","38","34.2%","0.74","1706","-159","9.8","13.3","4.3","6.9","52.6","44.7","2.05","45.3","0.50","52.8","0.61","0.1","-331","0.50","33.3","32.7","1606","4.1","1.62","1.73"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCK%20Spring%202019/week-ALL/","DAMWON Gaming","https://gol.gg/teams/team-stats/584/split-ALL/tournament-LCK%20Spring%202019/","38","55.3%","1.10","1855","75","11.5","10.4","6.3","5.5","31.6","44.7","2.47","58.9","0.47","47.4","0.97","-0.1","-281","0.66","55.3","35.3","1726","3.9","1.36","1.74"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCK%20Spring%202019/week-ALL/","Gen.G eSports","https://gol.gg/teams/team-stats/581/split-ALL/tournament-LCK%20Spring%202019/","39","38.5%","0.80","1750","-70","8.4","10.5","5.2","6.9","48.7","33.3","1.97","43.5","0.23","23.7","0.56","0.0","-319","0.49","41.4","34.2","1514","4.0","1.48","1.88"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCK%20Spring%202019/week-ALL/","Griffin","https://gol.gg/teams/team-stats/583/split-ALL/tournament-LCK%20Spring%202019/","35","82.9%","2.63","1967","309","14.6","5.5","7.8","2.6","80.0","68.6","2.31","63.1","0.60","61.8","0.69","0.4","2163","0.74","74.1","37.2","1726","3.9","1.31","1.78"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCK%20Spring%202019/week-ALL/","Hanwha Life eSports","https://gol.gg/teams/team-stats/604/split-ALL/tournament-LCK%20Spring%202019/","37","48.6%","0.88","1756","-53","9.3","10.6","5.4","6.0","37.8","45.9","2.08","46.0","0.51","52.8","0.76","-0.1","-416","0.70","54.4","33.6","1517","4.1","1.55","1.81"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCK%20Spring%202019/week-ALL/","Jin Air Green Wings","https://gol.gg/teams/team-stats/605/split-ALL/tournament-LCK%20Spring%202019/","34","8.8%","0.54","1630","-307","6.3","11.7","2.2","9.2","47.1","32.4","1.03","22.0","0.47","47.1","0.50","-0.4","-1679","0.15","10.9","33.0","1357","3.8","1.51","1.58"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCK%20Spring%202019/week-ALL/","Kingzone DragonX","https://gol.gg/teams/team-stats/580/split-ALL/tournament-LCK%20Spring%202019/","34","67.6%","1.19","1858","97","12.1","10.1","7.0","5.4","50.0","61.8","2.56","55.8","0.56","55.9","1.00","0.1","323","0.79","60.6","34.1","1801","4.0","1.66","1.87"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCK%20Spring%202019/week-ALL/","KT Rolster","https://gol.gg/teams/team-stats/579/split-ALL/tournament-LCK%20Spring%202019/","38","34.2%","0.75","1731","-133","10.2","13.5","4.7","7.1","39.5","28.9","1.66","37.5","0.39","40.5","0.45","-0.3","-429","0.53","42.9","33.1","1644","3.6","1.36","1.70"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCK%20Spring%202019/week-ALL/","Sandbox Gaming","https://gol.gg/teams/team-stats/606/split-ALL/tournament-LCK%20Spring%202019/","39","61.5%","1.04","1859","104","11.1","10.6","7.3","4.0","46.2","76.9","2.90","66.3","0.49","51.4","0.87","0.2","524","0.90","64.9","35.7","1788","3.9","1.53","1.91"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LCK%20Spring%202019/week-ALL/","SK Telecom T1","https://gol.gg/teams/team-stats/585/split-ALL/tournament-LCK%20Spring%202019/","40","67.5%","1.41","1868","129","11.2","7.9","7.3","4.2","67.5","60.0","2.63","59.4","0.68","67.5","0.80","0.3","439","0.70","63.4","35.7","1769","4.4","1.55","1.67"
