"url","Name","Name_link","Games","Win Rate","Kd","Gpm","Gdm","Game Duration","Kills Game","Deaths Game","Towers Killed","Towers Lost","Fb","Ft","Drapg","Dra","Nash Pg","Nash","Csm","Dpm","Wpm","Vwpm","Wcpm"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LPL%20Spring%202019/week-ALL/","Bilibili Gaming","https://gol.gg/teams/team-stats/607/split-ALL/tournament-LPL%20Spring%202019/","29","58.6%","1.30","1857","99","34:48","13.6","10.5","7.2","4.6","51.7","58.6","2.28","53.6","0.76","65.5","33.3","2011","3.7","1.47","1.72"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LPL%20Spring%202019/week-ALL/","Edward Gaming","https://gol.gg/teams/team-stats/608/split-ALL/tournament-LPL%20Spring%202019/","28","57.1%","1.13","1846","86","34:27","12.3","10.9","6.5","5.6","50.0","53.6","2.54","62.0","0.57","42.7","33.4","1884","3.4","1.36","1.66"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LPL%20Spring%202019/week-ALL/","Funplus Phoenix","https://gol.gg/teams/team-stats/609/split-ALL/tournament-LPL%20Spring%202019/","32","68.8%","1.29","1909","160","31:40","14.0","10.8","7.4","4.1","68.8","65.6","2.25","56.8","0.88","64.0","33.2","1749","3.6","1.28","1.37"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LPL%20Spring%202019/week-ALL/","Invictus Gaming","https://gol.gg/teams/team-stats/610/split-ALL/tournament-LPL%20Spring%202019/","26","76.9%","1.27","1955","173","29:23","17.9","14.0","7.1","4.2","30.8","65.4","1.96","55.8","0.85","77.1","32.5","2377","2.9","1.16","1.21"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LPL%20Spring%202019/week-ALL/","JD Gaming","https://gol.gg/teams/team-stats/611/split-ALL/tournament-LPL%20Spring%202019/","34","55.9%","0.92","1829","7","32:46","11.6","12.6","6.4","6.1","41.2","47.1","2.06","51.5","0.79","51.5","32.9","1792","3.5","1.26","1.34"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LPL%20Spring%202019/week-ALL/","LGD Gaming","https://gol.gg/teams/team-stats/612/split-ALL/tournament-LPL%20Spring%202019/","30","36.7%","0.79","1769","-110","33:26","11.2","14.2","5.8","7.1","50.0","43.3","2.03","46.5","0.60","36.9","31.9","1797","3.1","1.23","1.48"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LPL%20Spring%202019/week-ALL/","OMG","https://gol.gg/teams/team-stats/613/split-ALL/tournament-LPL%20Spring%202019/","26","26.9%","0.67","1732","-229","30:52","10.1","15.1","3.5","8.3","26.9","11.5","1.31","31.3","0.38","32.6","32.2","1592","3.2","1.17","1.23"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LPL%20Spring%202019/week-ALL/","Rogue Warriors","https://gol.gg/teams/team-stats/614/split-ALL/tournament-LPL%20Spring%202019/","29","31.0%","0.80","1776","-141","31:50","10.9","13.6","4.3","7.2","31.0","34.5","1.86","43.1","0.59","39.3","32.5","1668","3.5","1.34","1.26"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LPL%20Spring%202019/week-ALL/","Royal Never Give Up","https://gol.gg/teams/team-stats/692/split-ALL/tournament-LPL%20Spring%202019/","28","64.3%","1.20","1884","91","31:44","13.9","11.5","6.9","4.6","57.1","78.6","2.00","53.8","0.71","62.2","33.1","1866","3.6","1.42","1.64"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-LPL%20Spring%202019/week-ALL/","SinoDragon Gaming","https://gol.gg/teams/team-stats/615/split-ALL/tournament-LPL%20Spring%202019/","28","53.6%","0.97","1743","-46","32:24","11.3","11.8","5.6","6.4","64.3","53.6","2.04","47.8","0.64","45.1","33.1","1731","3.2","1.15","1.55"
