"url","Name","Name_link","Games","Win Rate","Kd","Gpm","Gdm","Game Duration","Kills Game","Deaths Game","Towers Killed","Towers Lost","Fb","Ft","Drapg","Dra","Herpg","Her","Dra 15","Td 15","Gd 15","Nash Pg","Nash","Csm","Dpm","Wpm","Vwpm","Wcpm"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-TCL%20Spring%202019/week-ALL/","1907 Fenerbahce","https://gol.gg/teams/team-stats/666/split-ALL/tournament-TCL%20Spring%202019/","18","88.9%","2.15","1971","388","30:02","16.3","7.6","8.8","2.1","72.2","94.4","2.61","76.7","0.78","77.8","1.06","1.3","3059","1.06","91.2","34.0","1973","3.0","1.18","1.31"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-TCL%20Spring%202019/week-ALL/","Besiktas Esports","https://gol.gg/teams/team-stats/667/split-ALL/tournament-TCL%20Spring%202019/","19","42.1%","0.89","1733","-68","35:09","12.3","13.7","5.2","7.0","47.4","52.6","2.05","40.7","0.37","36.8","0.58","-0.1","-51","0.58","40.7","31.2","1833","3.1","1.03","1.34"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-TCL%20Spring%202019/week-ALL/","Bursaspor Esports","https://gol.gg/teams/team-stats/668/split-ALL/tournament-TCL%20Spring%202019/","18","5.6%","0.47","1579","-382","31:31","7.0","14.9","2.3","9.7","38.9","22.2","0.67","15.9","0.56","55.6","0.44","-1.4","-3376","0.17","8.8","30.1","1406","2.9","1.22","1.05"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-TCL%20Spring%202019/week-ALL/","Dark Passage","https://gol.gg/teams/team-stats/669/split-ALL/tournament-TCL%20Spring%202019/","19","47.4%","0.95","1748","-36","32:00","9.6","10.1","5.7","6.1","21.1","47.4","1.63","40.4","0.42","44.4","0.42","-0.3","-1083","0.63","47.2","32.9","1559","3.4","1.09","1.29"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-TCL%20Spring%202019/week-ALL/","Galakticos","https://gol.gg/teams/team-stats/670/split-ALL/tournament-TCL%20Spring%202019/","18","11.1%","0.52","1641","-254","31:01","7.8","14.9","3.4","8.1","50.0","38.9","1.72","43.0","0.44","50.0","1.00","0.1","-622","0.17","18.8","30.9","1521","3.5","1.30","1.33"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-TCL%20Spring%202019/week-ALL/","Galatasaray Esports","https://gol.gg/teams/team-stats/671/split-ALL/tournament-TCL%20Spring%202019/","18","50.0%","1.02","1765","-8","34:38","13.2","12.9","6.6","6.4","55.6","61.1","2.39","55.1","0.44","44.4","0.89","-0.1","430","0.72","47.2","31.0","2020","3.1","1.12","1.26"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-TCL%20Spring%202019/week-ALL/","HWA Gaming","https://gol.gg/teams/team-stats/672/split-ALL/tournament-TCL%20Spring%202019/","18","33.3%","0.72","1696","-146","33:03","10.4","14.3","4.3","7.6","50.0","22.2","1.67","38.9","0.28","27.8","0.72","-0.6","-952","0.83","42.6","31.8","1543","3.0","1.09","1.16"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-TCL%20Spring%202019/week-ALL/","Royal Youth","https://gol.gg/teams/team-stats/673/split-ALL/tournament-TCL%20Spring%202019/","18","77.8%","1.44","1873","213","32:49","14.8","10.2","7.4","3.4","50.0","72.2","2.11","62.5","0.61","64.7","0.83","0.7","1327","0.94","70.6","31.9","2019","3.1","1.03","1.26"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-TCL%20Spring%202019/week-ALL/","SuperMassive","https://gol.gg/teams/team-stats/674/split-ALL/tournament-TCL%20Spring%202019/","18","88.9%","1.91","1942","289","31:55","17.4","9.1","9.1","3.5","55.6","61.1","2.72","74.3","0.56","55.6","1.06","0.6","1619","0.94","75.0","32.6","2015","2.9","1.15","1.25"
"https://gol.gg/teams/list/season-ALL/split-ALL/region-ALL/tournament-TCL%20Spring%202019/week-ALL/","Team Aurora","https://gol.gg/teams/team-stats/675/split-ALL/tournament-TCL%20Spring%202019/","18","55.6%","0.93","1782","10","30:09","12.7","13.6","6.1","5.3","55.6","22.2","2.00","54.0","0.44","44.4","0.67","-0.3","-248","0.78","55.9","31.1","1671","2.9","1.05","1.12"
