Name,Win Rate,Kd,Gpm,Gdm,Kills Game,Deaths Game,Towers Killed,Towers Lost,Fb,Ft,Drapg,Dra,Herpg,Her,Dra 15,Td 15,Gd 15,Nash Pg,Nash,Csm,Dpm,Wpm,Vwpm,Wcpm
CNB e-Sports Club,50.0,0.9,1767,-33,10.5,11.7,6.2,7.1,55,50,2.3,47.9,0.6,60,1.1,0.3,311,0.8,47.5,32.6,1741,3.5,1.48,1.45
Flamengo eSports,95.0,1.77,1912,256,15.2,8.5,9.5,2.6,75,80,3.4,77.8,0.75,75,1.35,0.6,1707,1.15,89.5,33.6,1919,3.8,1.35,1.43
INTZ eSports,65.0,1.33,1848,94,13.4,10.1,7.4,5.9,60,75,2.15,51.7,0.55,57.9,1,0.5,937,0.85,50,33,1769,3.4,1.44,1.39
KaBuM! e-Sports,40.0,0.82,1780,-51,12,14.7,6.3,6.9,40,50,2.35,45.8,0.5,50,0.6,0.1,-324,0.6,33.3,32.8,1932,3.5,1.48,1.36
ProGaming eSports,10.0,0.6,1637,-263,7.6,12.6,2.8,9.4,50,15,0.65,15.6,0.3,30,0.25,-1.2,-2523,0.2,11.4,31.7,1509,3.4,1.4,1.19
Redemption POA,55.0,1,1770,-17,12.6,12.5,6.1,6.1,45,45,2.5,50.6,0.4,42.1,0.85,-0.3,-350,0.9,53.3,32.2,1920,3.6,1.63,1.43
Uppercut eSports,45.0,0.93,1805,22,11.2,12,6.1,6.1,35,55,2.4,59.3,0.35,35,0.8,0.3,147,0.9,57.9,33.2,1711,3.2,1.23,1.34
Vivo Keyd,40.0,0.96,1799,-8,13.8,14.2,6.1,6.4,40,30,2.4,51.3,0.5,50,0.75,-0.3,94,1,57.5,32.2,1907,3.4,1.44,1.36
Afreeca Freecs,34.2,0.74,1706,-159,9.8,13.3,4.3,6.9,52.6,44.7,2.05,45.3,0.5,52.8,0.61,0.1,-331,0.5,33.3,32.7,1606,4.1,1.62,1.73
DAMWON Gaming,55.3,1.1,1855,75,11.5,10.4,6.3,5.5,31.6,44.7,2.47,58.9,0.47,47.4,0.97,-0.1,-281,0.66,55.3,35.3,1726,3.9,1.36,1.74
Gen.G eSports,38.5,0.8,1750,-70,8.4,10.5,5.2,6.9,48.7,33.3,1.97,43.5,0.23,23.7,0.56,0,-319,0.49,41.4,34.2,1514,4,1.48,1.88
Griffin,82.9,2.63,1967,309,14.6,5.5,7.8,2.6,80,68.6,2.31,63.1,0.6,61.8,0.69,0.4,2163,0.74,74.1,37.2,1726,3.9,1.31,1.78
Hanwha Life eSports,48.6,0.88,1756,-53,9.3,10.6,5.4,6,37.8,45.9,2.08,46,0.51,52.8,0.76,-0.1,-416,0.7,54.4,33.6,1517,4.1,1.55,1.81
Jin Air Green Wings,8.8,0.54,1630,-307,6.3,11.7,2.2,9.2,47.1,32.4,1.03,22,0.47,47.1,0.5,-0.4,-1679,0.15,10.9,33,1357,3.8,1.51,1.58
Kingzone DragonX,67.6,1.19,1858,97,12.1,10.1,7,5.4,50,61.8,2.56,55.8,0.56,55.9,1,0.1,323,0.79,60.6,34.1,1801,4,1.66,1.87
KT Rolster,34.2,0.75,1731,-133,10.2,13.5,4.7,7.1,39.5,28.9,1.66,37.5,0.39,40.5,0.45,-0.3,-429,0.53,42.9,33.1,1644,3.6,1.36,1.7
Sandbox Gaming,61.5,1.04,1859,104,11.1,10.6,7.3,4,46.2,76.9,2.9,66.3,0.49,51.4,0.87,0.2,524,0.9,64.9,35.7,1788,3.9,1.53,1.91
SK Telecom T1,67.5,1.41,1868,129,11.2,7.9,7.3,4.2,67.5,60,2.63,59.4,0.68,67.5,0.8,0.3,439,0.7,63.4,35.7,1769,4.4,1.55,1.67
Dragon Army,46.2,0.93,1783,34,12.2,13,5.4,5.8,69.2,61.5,1.77,44.7,0.62,61.5,0.85,0.8,1178,0.54,45.5,32.4,1814,3,1.09,1.24
Elements Pro Gaming,84.6,2.38,1915,356,15.5,6.5,7.8,2.5,69.2,69.2,2.38,69.6,0.69,69.2,1.08,0.8,2631,0.77,81.8,33,2128,3.1,1.34,1.31
Gambit Esports,84.6,1.53,1888,208,15.8,10.4,8.3,3.3,23.1,61.5,2.54,64.7,0.38,38.5,1.08,0.2,948,1.08,81.8,32.6,2032,3.2,1.22,1.34
M19 Team,46.2,1.2,1809,95,12.3,10.2,5.7,5.8,46.2,53.8,1.69,53.3,0.54,53.8,0.69,0.5,2131,0.38,36.4,32.4,1715,3,1.1,1.15
RoX,38.5,0.87,1713,-36,9.5,10.9,4.7,6.2,46.2,53.8,1.62,44.7,0.62,61.5,0.77,0.4,731,0.31,35,31.2,1662,2.8,1.17,1.13
Team Just Alpha,23.1,0.77,1654,-168,10.3,13.2,3.6,7.8,69.2,15.4,2,42.8,0.31,30.8,0.62,-0.2,-318,0.23,20.8,30.7,1599,3.3,1.35,1.31
Vaevictis eSports,0.0,0.23,1350,-831,5.7,25.2,0.2,9.2,7.7,0,0.23,10.3,0.08,8.3,0.08,-4.2,-10876,0,0,21.2,1335,2.2,0.89,0.64
Vega Squadron,76.9,1.92,1943,342,16.5,8.5,7.8,2.9,69.2,84.6,2.62,69.7,0.69,75,0.85,1.7,2965,0.69,70,33.5,2151,3,0.98,1.18
100 Thieves,25.0,0.75,1705,-130,7.8,10.3,4.8,7.9,31.3,43.8,2,38.4,0.44,43.8,0.63,0,-372,0.63,28.6,33.4,1517,3.4,1.24,1.47
